model_name,model_type,target,mae,rmse,mape,accuracy,precision,recall,f1,roc_auc,notes
capacity_forecast_xgboost_or_rf,XGBoostRegressor,heuristic expected capacity by 2035 from current fleet and pipeline,3552.2417683919266,6929.865637172285,,,,,,,"Target is a scenario-derived linear combination of pipeline features — not an independent ground truth. Metrics measure fit to the heuristic, not real-world accuracy. Replace with historical capacity snapshots for production use."
logistic_regression,classifier,high realization label,,,,0.9444444444444444,1.0,0.9333333333333333,0.9655172413793104,1.0,"Labels are derived from heuristic scoring (no historical realization data). Metrics measure consistency with the scoring rule, not real-world predictive accuracy."
random_forest,classifier,high realization label,,,,0.9444444444444444,1.0,0.9333333333333333,0.9655172413793104,1.0,"Labels are derived from heuristic scoring (no historical realization data). Metrics measure consistency with the scoring rule, not real-world predictive accuracy."
xgboost_classifier,classifier,high realization label,,,,1.0,1.0,1.0,1.0,1.0,"Labels are derived from heuristic scoring (no historical realization data). Metrics measure consistency with the scoring rule, not real-world predictive accuracy."
