year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2040,Russia,Eurasia,Base,31.397,0.86,236.53,20.22,0.0,0.0,31.397,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Russia,Eurasia,Accelerated,32.037,0.86,241.36,20.63,0.0,0.0,32.037,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Russia,Eurasia,Conservative,30.757,0.86,231.71,19.8,0.0,0.0,30.757,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Russia,Eurasia,Base,31.397,0.86,236.53,20.22,0.0,0.0,31.397,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Russia,Eurasia,Accelerated,32.037,0.86,241.36,20.63,0.0,0.0,32.037,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Slovakia,Europe,Conservative,1.913,0.86,14.41,48.05,0.0,0.0,1.913,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Slovakia,Europe,Base,1.991,0.86,15.0,49.99,0.0,0.0,1.991,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Slovakia,Europe,Accelerated,2.068,0.86,15.58,51.93,0.0,0.0,2.068,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Slovakia,Europe,Conservative,1.913,0.86,14.41,48.05,0.0,0.0,1.913,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Slovakia,Europe,Base,1.991,0.86,15.0,49.99,0.0,0.0,1.991,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Slovakia,Europe,Accelerated,2.068,0.86,15.58,51.93,0.0,0.0,2.068,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Slovakia,Europe,Conservative,1.913,0.86,14.41,48.05,0.0,0.0,1.913,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Slovakia,Europe,Base,1.991,0.86,15.0,49.99,0.0,0.0,1.991,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Slovakia,Europe,Accelerated,2.068,0.86,15.58,51.93,0.0,0.0,2.068,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Africa,Africa,Conservative,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Africa,Africa,Base,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Africa,Africa,Accelerated,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Africa,Africa,Conservative,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Africa,Africa,Base,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Africa,Africa,Accelerated,1.8,0.86,13.56,5.77,0.0,0.0,1.8,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Africa,Africa,Conservative,2.125,0.86,16.01,6.81,0.0,0.0,2.125,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Africa,Africa,Base,2.242,0.86,16.89,7.19,0.0,0.0,2.242,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Africa,Africa,Accelerated,2.36,0.86,17.78,7.57,0.0,0.0,2.36,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Korea,Asia,Conservative,24.767,0.86,186.59,31.62,0.0,0.0,24.767,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Korea,Asia,Base,25.137,0.86,189.37,32.1,0.0,0.0,25.137,Scenario engine using processed reactor pipeline and sample/ingested context
2030,South Korea,Asia,Accelerated,25.507,0.86,192.16,32.57,0.0,0.0,25.507,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Korea,Asia,Conservative,24.767,0.86,186.59,31.62,0.0,0.0,24.767,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Korea,Asia,Base,25.137,0.86,189.37,32.1,0.0,0.0,25.137,Scenario engine using processed reactor pipeline and sample/ingested context
2040,South Korea,Asia,Accelerated,25.507,0.86,192.16,32.57,0.0,0.0,25.507,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Korea,Asia,Conservative,24.767,0.86,186.59,31.62,0.0,0.0,24.767,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Korea,Asia,Base,25.137,0.86,189.37,32.1,0.0,0.0,25.137,Scenario engine using processed reactor pipeline and sample/ingested context
2050,South Korea,Asia,Accelerated,25.507,0.86,192.16,32.57,0.0,0.0,25.507,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Spain,Europe,Conservative,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Spain,Europe,Base,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Spain,Europe,Accelerated,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Spain,Europe,Conservative,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Spain,Europe,Base,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Spain,Europe,Accelerated,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Spain,Europe,Conservative,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Spain,Europe,Base,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Spain,Europe,Accelerated,7.264,0.86,54.72,21.89,0.0,0.0,7.264,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Sweden,Europe,Conservative,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Sweden,Europe,Base,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Sweden,Europe,Accelerated,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Sweden,Europe,Conservative,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Sweden,Europe,Base,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Sweden,Europe,Accelerated,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Sweden,Europe,Conservative,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Sweden,Europe,Base,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Sweden,Europe,Accelerated,5.908,0.86,44.51,31.79,0.0,0.0,5.908,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Switzerland,Europe,Conservative,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Switzerland,Europe,Base,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Switzerland,Europe,Accelerated,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Switzerland,Europe,Conservative,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Switzerland,Europe,Base,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Switzerland,Europe,Accelerated,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Switzerland,Europe,Conservative,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Switzerland,Europe,Base,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Switzerland,Europe,Accelerated,2.92,0.86,22.0,33.84,0.0,0.0,2.92,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Taiwan,Asia,Conservative,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Taiwan,Asia,Base,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Taiwan,Asia,Accelerated,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Taiwan,Asia,Conservative,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Taiwan,Asia,Base,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Taiwan,Asia,Accelerated,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Taiwan,Asia,Conservative,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Taiwan,Asia,Base,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Taiwan,Asia,Accelerated,2.731,0.86,20.57,8.76,0.0,0.0,2.731,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Turkey,Europe,Conservative,1.765,0.86,13.29,3.97,0.0,0.0,1.765,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Turkey,Europe,Base,2.406,0.86,18.13,5.41,0.0,0.0,2.406,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Turkey,Europe,Accelerated,3.048,0.86,22.96,6.85,0.0,0.0,3.048,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Turkey,Europe,Conservative,1.765,0.86,13.29,3.97,0.0,0.0,1.765,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Turkey,Europe,Base,2.406,0.86,18.13,5.41,0.0,0.0,2.406,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Turkey,Europe,Accelerated,3.048,0.86,22.96,6.85,0.0,0.0,3.048,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Turkey,Europe,Conservative,1.765,0.86,13.29,3.97,0.0,0.0,1.765,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Turkey,Europe,Base,2.406,0.86,18.13,5.41,0.0,0.0,2.406,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Turkey,Europe,Accelerated,3.048,0.86,22.96,6.85,0.0,0.0,3.048,Scenario engine using processed reactor pipeline and sample/ingested context
2030,UAE,Middle East,Conservative,4.449,0.86,33.52,20.95,0.0,0.0,4.449,Scenario engine using processed reactor pipeline and sample/ingested context
2030,UAE,Middle East,Base,4.6,0.86,34.65,21.66,0.0,0.0,4.6,Scenario engine using processed reactor pipeline and sample/ingested context
2030,UAE,Middle East,Accelerated,4.751,0.86,35.79,22.37,0.0,0.0,4.751,Scenario engine using processed reactor pipeline and sample/ingested context
2040,UAE,Middle East,Conservative,4.449,0.86,33.52,20.95,0.0,0.0,4.449,Scenario engine using processed reactor pipeline and sample/ingested context
2040,UAE,Middle East,Base,4.6,0.86,34.65,21.66,0.0,0.0,4.6,Scenario engine using processed reactor pipeline and sample/ingested context
2040,UAE,Middle East,Accelerated,4.751,0.86,35.79,22.37,0.0,0.0,4.751,Scenario engine using processed reactor pipeline and sample/ingested context
2050,UAE,Middle East,Conservative,4.449,0.86,33.52,20.95,0.0,0.0,4.449,Scenario engine using processed reactor pipeline and sample/ingested context
2050,UAE,Middle East,Base,4.6,0.86,34.65,21.66,0.0,0.0,4.6,Scenario engine using processed reactor pipeline and sample/ingested context
2050,UAE,Middle East,Accelerated,4.751,0.86,35.79,22.37,0.0,0.0,4.751,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Ukraine,Eurasia,Conservative,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Ukraine,Eurasia,Base,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Ukraine,Eurasia,Accelerated,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Ukraine,Eurasia,Conservative,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Ukraine,Eurasia,Base,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Ukraine,Eurasia,Accelerated,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Ukraine,Eurasia,Conservative,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Ukraine,Eurasia,Base,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Ukraine,Eurasia,Accelerated,13.114,0.86,98.8,65.86,0.0,0.0,13.114,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United Kingdom,Europe,Conservative,6.404,0.86,48.24,15.32,0.0,0.0,6.404,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United Kingdom,Europe,Base,6.984,0.86,52.62,16.7,0.0,0.0,6.984,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United Kingdom,Europe,Accelerated,7.564,0.86,56.99,18.09,0.0,0.0,7.564,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United Kingdom,Europe,Conservative,6.404,0.86,48.24,15.32,0.0,0.0,6.404,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United Kingdom,Europe,Base,6.984,0.86,52.62,16.7,0.0,0.0,6.984,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United Kingdom,Europe,Accelerated,7.564,0.86,56.99,18.09,0.0,0.0,7.564,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United Kingdom,Europe,Conservative,6.912,0.86,52.07,16.53,0.0,0.0,6.912,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United Kingdom,Europe,Base,7.678,0.86,57.84,18.36,0.0,0.0,7.678,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United Kingdom,Europe,Accelerated,8.443,0.86,63.6,20.19,0.0,0.0,8.443,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United States,North America,Conservative,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United States,North America,Base,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2030,United States,North America,Accelerated,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United States,North America,Conservative,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United States,North America,Base,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2040,United States,North America,Accelerated,80.092,0.86,603.38,14.03,0.0,0.0,80.092,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United States,North America,Conservative,80.273,0.86,604.74,14.06,0.165,0.19,79.918,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United States,North America,Base,80.339,0.86,605.24,14.08,0.225,0.259,79.855,Scenario engine using processed reactor pipeline and sample/ingested context
2050,United States,North America,Accelerated,80.405,0.86,605.74,14.09,0.285,0.328,79.792,Scenario engine using processed reactor pipeline and sample/ingested context
