year,country,region,scenario,capacity_gwe,capacity_factor,estimated_generation_twh,nuclear_share_estimate,smr_capacity_gwe,geniv_capacity_gwe,large_reactor_capacity_gwe,source_name
2030,Brazil,Latin America,Accelerated,1.99,0.86,14.99,2.17,0.0,0.0,1.99,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Brazil,Latin America,Conservative,2.539,0.86,19.13,2.77,0.0,0.0,2.539,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Brazil,Latin America,Base,2.738,0.86,20.63,2.99,0.0,0.0,2.738,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Brazil,Latin America,Accelerated,2.938,0.86,22.13,3.21,0.0,0.0,2.938,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Brazil,Latin America,Conservative,2.539,0.86,19.13,2.77,0.0,0.0,2.539,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Brazil,Latin America,Base,2.738,0.86,20.63,2.99,0.0,0.0,2.738,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Brazil,Latin America,Accelerated,2.938,0.86,22.13,3.21,0.0,0.0,2.938,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Bulgaria,Europe,Conservative,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Bulgaria,Europe,Base,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2030,Bulgaria,Europe,Accelerated,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Bulgaria,Europe,Conservative,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Bulgaria,Europe,Base,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2040,Bulgaria,Europe,Accelerated,1.953,0.86,14.71,32.7,0.0,0.0,1.953,Scenario engine using processed reactor pipeline and sample/ingested context
2050,Bulgaria,Europe,Conservative,2.278,0.86,17.16,38.13,0.0,0.0,2.278,Scenario engine using processed reactor pipeline and sample/ingested context
